ニックネーム,nickname,出身地（都道府県）,大学名・専門学校名、学部、学科,大学・専門学校での専門分野,プログラミング経験,コロナ禍で始めたこと(20文字以内),意気込み(40文字以内)
まりえってぃ,Marietty,四国,経済情報学部,文系,あり,ダイエット始めました！,元気に明るく、楽しく仕事を頑張ります！！
もえ,Moe,四国,生物応用化学科,理系,なし,Netflixなど有料動画サイトへの登録,プログラミング未経験ですが、人と人との繋がりを大切にできるエンジニアになりたいです。
コウダイ,Koudai,関西,文学部,文系,なし,大阪支社でのインターン。　動画作成・編集。,自分なりの色を出しながら会社の売り上げ、TeamTechの普及に貢献します!!
こり,Kori,九州・沖縄,教育学部,文系,なし,食べる寝るゲーム漫画…おうち時間の充実！,分からないことも沢山ありますが、先輩方や同期と楽しく充実した仕事をしたいです。
はじ,Haji,関西,産業社会学部,文系,なし,筋トレ,何事も挑戦あるのみ！自分の新たな価値を創り出していきたいと思います。
こまこま,Komakoma,関西,文学部,文系,なし,いろいろなスマホゲームをひたすらプレイ,私らしさを忘れずに、素敵な社会人になりたいです！
ののちゃん,Nonochan,関東,経営学部,文系,なし,植物の栽培、ギター、河川敷を散歩,何事も楽しんで頑張ります！
たか,Taka,関東,理工学部,理系,あり,プログラミング、apex,早く仕事を覚えて一人前になれるようにがんばります！！
ゆっきーな,Yukkina,関西,法学部,文系,なし,ネイル,一緒に働くのが今から楽しみで仕方ない人ばかりでワクワクです！頑張ります！
いもちゃん,Imochan,東北,健康科学部,文系,なし,映画鑑賞、zoom飲み,シアトルの一員として、何事にも謙虚に素直に取り組みます！よろしくお願いします！
みん,Min,関東,外国語学部,文系,なし,料理、運動,学科とは無縁の分野ですが、持ち前の明るさと前向きさでどんなことでも乗り越えて楽しくやっていきたいと思います！
いたろー,Itaro,関東,工学部,理系,あり,筋トレ、読書,消極的な性格ですが，積極的に行動し，シアトルとともに成長していきます！
とよしー,Toyoshi,関東, ITエンジニア科,理系,あり,APEX LEGENDS(ゲーム),全ての物事に対してがむしゃらに挑戦していきたいです！
あやみ,Ayami,東北,危機管理学部,文系,なし,お風呂あがりに柔軟をするようになりました。,目標をどんどん達成して成長していきたいと思います！元気に頑張ります！
みれい,Mirei,関東,経営学部,文系,なし,部屋で過ごす時間が増えたので、定期的にお花を飾るようになりました。,社会人になるということで、不安もたくさんありますが、同期や先輩方とお仕事するのがとても楽しみです。自分の良さを吐き出しつつ活躍できるように頑張りたいと思います。
くぼこ,Kuboko,関西,商学部,文系,なし,ポケモンのランクマッチ、ウイイレのレート上げ,チャレンジ精神を忘れず、全力で突っ走ります！！
近江のQuick Silver,Oumi's Quick Silver,関西,農学部,理系,あり,マウスウォッシュ、お家で筋トレ、青汁,誰かの役に立てるよう、一日一日大切に頑張っていきます。シアトルの皆さん、よろしくお願い致します。
りょうか,Ryoka,関西,子ども学部,文系,なし,ハンドメイド・Googleマップで旅行,誇れる自分になれるよう、努力を惜しまず何事にも全力で打ち込みます！１日でも早くシアトルの戦力となれるよう頑張ります！
ぽんさん,Ponsan,関東,文学部,文系,なし,家でのヨガとフィットネス,完全に未経験でIT業界に飛び込むので、学べる事は全て吸収し頑張っていきたいです！
なお,Nao,関東,現代文化学部,文系,なし,Netflixを見るようになりました。,不安よりもワクワクを増やしていけるように頑張ります。よろしくお願いします！
れんれん,Renren,中部,経営学部,文系,なし,ドライブを始めました！,チームワークを誰よりも大切にして、シアトルに貢献できるように頑張ります！
ほしちゃん,Hoshichan,関東,体育学部,文系,なし,読書、公園で新体操の練習をすること,たくさんの事を吸収して、日々成長していけるように努力します！よろしくお願いします。
シンシン,Shinshin,中部,スポーツ健康科学部,文系,なし,アニメ鑑賞,目の前のことに本気で、遊び心も忘れずに、頑張っていきます！
ありちゃん,Arichan,関西,外国語学部,文系,なし,コーヒー・映画鑑賞・ボードゲーム,仲間のみんなと本気で頑張ります！笑顔でいることと、わくわくするために仲間と挑戦をし続けることを大切にします!
つかさ,Tsukasa,関東,商学部,文系,なし,料理、アニメ鑑賞,ITの知識ゼロですが、考えること、楽しむことを常に心がけて頑張ります！よろしくお願いします！
かなこ,Kanako,関東,法学部,文系,なし,運動する機会が減ったことから隙間時間にYouTubeでヨガや体を引き締めるトレーニングを始めました！,未経験のプログラミングを始め、継続して学ぶ姿勢を大切にし、会社や仲間に感謝を忘れず、仕事を通して成長していきたいです！
みちは,Michiha,関東,国際社会学科,文系,なし,刺繍、タイ語・韓国語の勉強,成長してみせます！！
じっつ,Jittsu,関東,家政学部,文系,なし,韓国のドラマや動画を見ること,常に学びの姿勢を忘れず、技術を早く身につけたいです！よろしくお願いします！
たかや,Takaya,東北,商学部,文系,なし,定期的な運動(テニス、ランニング)、友達と曲作り,自分自身の目標を見据えて動き、1年目からシアトル社内も盛り上げられるような活躍をしていきます！
りょーすけ,Ryosuke,関西,経済学部,文系,なし,カラオケが好きで、最近家で歌えるマイク買いました。,シアトルの一員としてがんばります！応援よろしくお願いします。
